timestamp,product_id,food_group,temperature,humidity,shock_level,duration_hours,spoilage_risk_level,spoiled
2025-03-02 05:52:14,Butter,Dairy,6.34,83,2.26,64,2,1
2025-03-19 12:14:49,Crab,Seafood,5.62,77,0.58,71,2,1
2025-01-26 01:53:11,Cheese,Dairy,3.85,87,0.76,5,0,0
2025-02-26 02:01:16,Orange,Fruits,10.58,70,1.76,26,1,1
2025-02-11 08:15:55,Vegetables,Egg_Veg,5.69,61,2.24,28,1,1
2025-01-28 13:54:59,Cheese,Dairy,9.81,64,1.92,15,0,0
2025-01-11 19:43:22,Apple,Fruits,7.51,85,2.13,70,2,1
2025-02-07 00:17:02,Crab,Seafood,5.49,76,0.82,72,2,1
2025-03-30 13:15:43,Grains,Dry_Goods,9.87,77,1.33,7,0,0
2025-03-09 18:55:40,Fish,Seafood,3.59,86,2.58,34,1,1
2025-01-03 12:56:05,Apple,Fruits,8.87,81,2.83,66,2,1
2025-01-04 05:39:02,Crab,Seafood,5.4,63,1.29,30,1,1
2025-01-29 08:17:20,Grains,Dry_Goods,11.37,74,1.84,66,2,1
2025-01-02 08:06:38,Nuts,Dry_Goods,11.97,69,1.34,34,1,1
2025-01-22 04:20:21,Grains,Dry_Goods,7.95,80,0.57,17,0,0
2025-02-11 13:22:24,Crab,Seafood,5.73,61,1.26,5,0,0
2025-01-13 14:08:41,Banana,Fruits,7.85,72,1.52,4,0,0
2025-03-24 18:21:33,Milk,Dairy,4.39,74,2.24,12,0,0
2025-02-28 18:44:12,Fish,Seafood,6.54,85,1.38,32,1,1
2025-01-16 07:15:59,Orange,Fruits,9.1,75,1.15,70,2,1
2025-02-05 20:16:28,Vegetables,Egg_Veg,7.58,70,2.71,9,0,0
2025-01-19 07:18:50,Cheese,Dairy,3.14,71,2.79,32,1,1
2025-02-13 15:37:50,Egg,Egg_Veg,7.93,73,1.56,72,2,1
2025-03-03 05:32:16,Butter,Dairy,9.8,88,2.48,65,2,1
2025-03-27 01:32:16,Egg,Egg_Veg,9.26,89,1.25,35,1,1
2025-01-03 13:48:24,Cheese,Dairy,8.39,77,2.66,3,0,0
2025-02-16 10:23:47,Vegetables,Egg_Veg,9.53,88,1.31,66,2,1
2025-02-17 16:55:58,Grains,Dry_Goods,10.96,80,2.92,56,2,1
2025-03-17 06:33:59,Fish,Seafood,5.89,64,0.72,58,2,1
2025-01-29 16:21:20,Orange,Fruits,7.63,62,1.07,37,1,1
2025-03-21 04:30:04,Apple,Fruits,9.29,79,2.1,36,1,1
2025-03-30 19:28:21,Apple,Fruits,8.06,80,2.72,34,1,1
2025-02-06 12:39:49,Milk,Dairy,8.94,73,2.19,16,0,0
2025-02-03 10:17:39,Fish,Seafood,7.75,62,0.93,70,2,1
2025-01-21 10:12:00,Vegetables,Egg_Veg,6.82,68,1.61,68,2,1
2025-01-02 06:40:48,Orange,Fruits,7.21,86,1.31,55,2,1
2025-01-17 09:16:12,Egg,Egg_Veg,9.88,82,1.76,25,1,1
2025-02-12 15:40:43,Grains,Dry_Goods,9.56,75,1.59,39,1,1
2025-02-15 00:38:16,Apple,Fruits,10.38,87,1.3,61,2,1
2025-03-23 07:27:39,Nuts,Dry_Goods,11.88,89,1.81,60,2,1
2025-03-26 07:42:55,Grains,Dry_Goods,11.19,71,1.53,61,2,1
2025-02-08 03:00:41,Banana,Fruits,10.93,71,1.91,31,1,1
2025-01-14 06:03:19,Milk,Dairy,6.91,69,2.82,32,1,1
2025-01-02 22:23:32,Egg,Egg_Veg,9.26,81,1.49,19,0,0
2025-03-12 08:12:24,Butter,Dairy,5.29,89,0.9,62,2,1
2025-01-07 09:23:15,Prawn,Seafood,6.22,70,2.89,34,1,1
2025-01-01 07:35:41,Apple,Fruits,10.77,79,0.52,20,0,0
2025-02-07 06:31:59,Egg,Egg_Veg,7.81,74,1.4,34,1,1
2025-02-24 12:08:19,Fish,Seafood,7.79,74,1.12,27,1,1
2025-02-27 01:37:54,Butter,Dairy,6.08,63,1.68,25,1,1
2025-02-03 00:20:12,Banana,Fruits,8.62,80,1.24,35,1,1
2025-02-02 06:21:49,Crab,Seafood,2.0,82,2.03,17,0,0
2025-01-21 13:09:45,Prawn,Seafood,4.4,84,0.96,64,2,1
2025-01-17 20:10:51,Vegetables,Egg_Veg,6.83,66,1.7,37,1,1
2025-03-26 19:46:03,Prawn,Seafood,7.37,61,1.04,65,2,1
2025-02-27 14:19:05,Crab,Seafood,4.43,64,0.79,29,1,1
2025-02-27 21:25:20,Prawn,Seafood,2.4,88,2.27,16,0,0
2025-02-17 20:54:14,Orange,Fruits,8.87,73,2.7,18,0,0
2025-01-20 07:00:06,Orange,Fruits,9.31,63,1.88,1,0,0
2025-03-09 22:37:20,Crab,Seafood,4.61,74,1.22,30,1,1
2025-01-05 13:56:32,Apple,Fruits,9.95,65,2.73,61,2,1
2025-02-19 21:57:39,Vegetables,Egg_Veg,8.67,76,0.69,71,2,1
2025-01-31 03:26:00,Vegetables,Egg_Veg,8.69,73,1.11,25,1,1
2025-01-15 13:23:59,Apple,Fruits,10.56,77,1.6,29,1,1
2025-03-24 01:22:34,Cheese,Dairy,7.46,64,1.06,72,2,1
2025-01-09 21:49:03,Egg,Egg_Veg,9.13,64,2.87,4,0,0
2025-01-07 18:10:00,Crab,Seafood,3.67,90,2.86,26,1,1
2025-02-10 17:34:32,Orange,Fruits,9.88,73,1.26,57,2,1
2025-01-29 19:33:49,Fish,Seafood,3.5,75,2.4,29,1,1
2025-02-01 07:09:40,Vegetables,Egg_Veg,9.28,60,1.49,6,0,0
2025-03-25 00:41:16,Prawn,Seafood,7.86,87,2.05,69,2,1
2025-02-02 15:52:33,Banana,Fruits,6.72,88,2.53,34,1,1
2025-03-08 09:39:08,Grains,Dry_Goods,8.13,71,1.93,28,1,1
2025-01-30 03:53:25,Egg,Egg_Veg,6.75,63,2.8,58,2,1
2025-02-14 18:48:18,Cheese,Dairy,5.27,61,2.41,13,0,0
2025-03-04 03:15:09,Fish,Seafood,6.92,63,2.17,17,0,0
2025-01-12 21:06:07,Crab,Seafood,4.39,87,1.42,25,1,1
2025-01-07 12:35:44,Banana,Fruits,6.31,83,1.96,26,1,1
2025-03-25 11:59:23,Fish,Seafood,3.23,65,2.97,19,0,0
2025-03-05 20:05:33,Vegetables,Egg_Veg,6.45,61,2.09,31,1,1
2025-02-07 14:53:03,Fish,Seafood,5.6,72,2.87,68,2,1
2025-01-28 09:04:59,Egg,Egg_Veg,6.3,60,2.01,32,1,1
2025-01-28 01:12:31,Cheese,Dairy,8.08,62,1.1,9,0,0
2025-01-28 08:35:11,Orange,Fruits,6.53,90,1.03,33,1,1
2025-01-21 15:38:15,Egg,Egg_Veg,9.09,86,0.54,31,1,1
2025-03-28 12:42:46,Prawn,Seafood,7.53,66,2.95,7,0,0
2025-02-24 05:35:03,Fish,Seafood,6.31,66,1.98,26,1,1
2025-01-02 00:35:24,Cheese,Dairy,9.64,89,2.6,69,2,1
2025-02-05 01:16:36,Orange,Fruits,5.68,89,1.4,4,0,0
2025-01-25 04:14:12,Grains,Dry_Goods,6.83,77,2.02,7,0,0
2025-01-28 23:04:28,Apple,Fruits,10.25,68,2.1,71,2,1
2025-01-24 21:45:11,Butter,Dairy,5.3,80,2.08,61,2,1
2025-03-18 11:49:37,Vegetables,Egg_Veg,8.25,86,2.38,26,1,1
2025-03-08 22:31:47,Orange,Fruits,8.65,65,1.05,10,0,0
2025-03-12 16:14:13,Crab,Seafood,4.88,61,1.66,5,0,0
2025-02-10 00:44:59,Grains,Dry_Goods,10.29,90,0.97,36,1,1
2025-03-29 00:36:18,Cheese,Dairy,8.88,71,2.87,55,2,1
2025-03-13 06:04:22,Grains,Dry_Goods,11.77,65,2.4,36,1,1
2025-03-20 02:18:50,Grains,Dry_Goods,8.63,87,1.7,68,2,1
2025-03-03 13:13:45,Fish,Seafood,3.89,90,2.12,7,0,0
2025-03-25 19:24:37,Butter,Dairy,4.57,67,1.78,8,0,0
2025-03-06 01:39:58,Nuts,Dry_Goods,7.81,90,1.98,38,1,1
2025-03-27 10:36:30,Butter,Dairy,8.77,60,2.16,30,1,1
2025-02-24 00:24:57,Egg,Egg_Veg,7.27,65,2.77,63,2,1
2025-02-14 08:34:08,Vegetables,Egg_Veg,7.44,65,1.5,65,2,1
2025-02-01 10:27:13,Butter,Dairy,7.88,81,0.56,55,2,1
2025-03-05 05:25:31,Grains,Dry_Goods,7.35,83,1.73,6,0,0
2025-03-10 23:06:54,Egg,Egg_Veg,6.74,65,0.9,34,1,1
2025-01-08 05:06:30,Nuts,Dry_Goods,10.31,76,1.65,60,2,1
2025-03-07 18:00:18,Nuts,Dry_Goods,6.95,75,2.15,7,0,0
2025-01-31 23:06:03,Milk,Dairy,5.45,72,1.23,17,0,0
2025-03-24 02:29:37,Orange,Fruits,10.26,62,0.7,29,1,1
2025-02-16 05:13:08,Crab,Seafood,4.85,78,2.98,34,1,1
2025-01-15 18:34:35,Butter,Dairy,8.89,65,1.9,62,2,1
2025-01-04 23:04:06,Milk,Dairy,5.85,74,1.74,32,1,1
2025-03-25 21:02:01,Egg,Egg_Veg,7.72,73,2.99,72,2,1
2025-03-17 06:32:49,Egg,Egg_Veg,5.51,80,2.43,8,0,0
2025-01-09 07:41:50,Milk,Dairy,9.72,60,1.58,55,2,1
2025-01-03 21:01:04,Banana,Fruits,5.29,90,0.72,8,0,0
2025-01-12 07:12:58,Prawn,Seafood,5.76,88,1.02,39,1,1
2025-02-07 16:51:28,Milk,Dairy,8.89,81,1.97,4,0,0
2025-01-02 06:30:23,Milk,Dairy,9.68,67,1.09,29,1,1
2025-03-03 07:57:17,Egg,Egg_Veg,6.98,87,2.56,13,0,0
2025-03-21 11:04:19,Nuts,Dry_Goods,11.02,75,2.12,15,0,0
2025-02-16 11:15:19,Crab,Seafood,7.8,72,2.56,18,0,0
2025-01-30 18:08:07,Milk,Dairy,4.23,88,2.39,32,1,1
2025-02-09 07:17:03,Egg,Egg_Veg,7.74,61,0.75,13,0,0
2025-02-10 23:06:07,Prawn,Seafood,5.25,90,2.89,17,0,0
2025-01-17 03:04:50,Vegetables,Egg_Veg,7.79,88,1.56,60,2,1
2025-03-22 23:59:41,Orange,Fruits,9.04,80,2.54,13,0,0
2025-03-01 09:32:08,Crab,Seafood,4.5,85,0.69,59,2,1
2025-03-28 07:33:10,Vegetables,Egg_Veg,5.58,76,1.21,27,1,1
2025-02-10 03:44:44,Butter,Dairy,4.65,70,2.8,29,1,1
2025-01-22 02:07:00,Orange,Fruits,10.55,76,2.19,38,1,1
2025-01-11 06:17:12,Cheese,Dairy,9.59,73,2.21,40,1,1
2025-02-08 03:23:57,Crab,Seafood,5.44,62,2.31,16,0,0
2025-01-30 05:18:43,Grains,Dry_Goods,7.93,88,2.79,39,1,1
2025-01-22 20:15:53,Grains,Dry_Goods,10.56,77,0.77,57,2,1
2025-02-11 20:41:27,Milk,Dairy,8.16,82,2.0,14,0,0
2025-01-20 19:46:48,Vegetables,Egg_Veg,9.88,60,2.25,37,1,1
2025-02-12 16:56:21,Prawn,Seafood,5.7,80,1.16,8,0,0
2025-01-10 13:49:35,Vegetables,Egg_Veg,9.53,79,2.95,63,2,1
2025-03-11 11:22:03,Banana,Fruits,8.04,90,0.64,56,2,1
2025-01-29 22:26:37,Egg,Egg_Veg,9.43,79,2.42,40,1,1
